id_empresa,situacao_desc,cnae_descricao,score_final,classe_final,ranking,if_anomalia,dbscan_outlier,score_manual_norm,padrao,anos_operacao,qtd_socios,qtd_filiais,sem_socios,max_empresas_por_socio,taxa_inapta_municipio
EMP_RJ_00988,Ativa,Comércio varejista de combustíveis (postos),0.6664881230802384,Alto,24,1,1,0.4166666666666667,Outros,59.2,18,0,0,4.0,0.25
EMP_RJ_00714,Inapta,Extração de petróleo e gás natural,0.6664342403074369,Alto,25,0,1,0.8333333333333334,P4: Abandono fiscal,10.9,6,0,0,1.0,0.21731448763250882
EMP_RJ_00494,Inapta,Comércio atacadista de combustíveis,0.6652604992122899,Alto,26,0,1,0.8333333333333334,P2: Empresa fantasma,16.0,0,1,1,1.0,0.21731448763250882
EMP_RJ_00217,Ativa,Extração de petróleo e gás natural,0.6622690798989421,Alto,27,1,1,0.4166666666666667,Outros,0.4,9,7,0,1.0,0.13333333333333333
EMP_RJ_00634,Inapta,Comércio varejista de combustíveis (postos),0.6579356161497976,Alto,28,0,1,0.8333333333333334,P2: Empresa fantasma,13.6,0,0,1,1.0,1.0
EMP_RJ_00330,Ativa,Extração de petróleo e gás natural,0.6556524854239354,Alto,29,1,1,0.5833333333333334,P5: Ativa suspeita,0.2,0,2,1,1.0,0.13333333333333333
EMP_RJ_01353,Ativa,Comércio varejista de combustíveis (postos),0.6502751614252047,Alto,30,1,1,0.3333333333333333,P3: Laranja societário,2.9,4,0,0,11.0,0.20212765957446807
EMP_RJ_01461,Ativa,Comércio varejista de combustíveis (postos),0.6489700729004098,Alto,31,1,1,0.3333333333333333,P3: Laranja societário,0.8,3,0,0,22.0,0.2
EMP_RJ_01354,Ativa,Comércio varejista de combustíveis (postos),0.648569141465922,Alto,32,1,1,0.3333333333333333,P3: Laranja societário,2.9,4,0,0,11.0,0.2222222222222222
EMP_RJ_01382,Ativa,Comércio varejista de combustíveis (postos),0.6481090325623666,Alto,33,1,1,0.3333333333333333,P3: Laranja societário,2.3,2,0,0,16.0,0.21731448763250882
EMP_RJ_01434,Ativa,Comércio varejista de combustíveis (postos),0.6472447198543099,Alto,34,1,1,0.3333333333333333,P3: Laranja societário,1.3,4,0,0,22.0,0.1111111111111111
EMP_RJ_01266,Ativa,Comércio varejista de combustíveis (postos),0.6452019140325931,Alto,35,1,1,0.25,Outros,53.4,4,0,0,3.0,0.21731448763250882
EMP_RJ_01261,Ativa,Comércio atacadista de combustíveis,0.6444025972925798,Alto,36,1,1,0.16666666666666666,P5: Ativa suspeita,2.8,0,1,1,1.0,0.20212765957446807
EMP_RJ_00989,Ativa,Comércio varejista de combustíveis (postos),0.6414832245763231,Alto,37,1,1,0.4166666666666667,Outros,58.6,18,0,0,4.0,0.25
EMP_RJ_01359,Ativa,Comércio varejista de combustíveis (postos),0.6397377316480053,Alto,38,1,1,0.3333333333333333,P3: Laranja societário,2.8,2,0,0,16.0,0.21731448763250882
EMP_RJ_01184,Inapta,Comércio varejista de combustíveis (postos),0.639262983172252,Alto,39,0,1,0.75,P4: Abandono fiscal,33.7,3,1,0,3.0,0.25
EMP_RJ_01485,Ativa,Comércio varejista de combustíveis (postos),0.633797993870592,Alto,40,1,1,0.4166666666666667,Outros,0.2,2,0,0,6.0,0.21731448763250882
EMP_RJ_01486,Ativa,Comércio varejista de combustíveis (postos),0.633797993870592,Alto,40,1,1,0.4166666666666667,Outros,0.2,2,0,0,6.0,0.21731448763250882
EMP_RJ_00605,Inapta,Comércio varejista de combustíveis (postos),0.6308227810459919,Alto,42,0,1,0.75,P4: Abandono fiscal,14.5,2,0,0,4.0,0.5
EMP_RJ_01459,Ativa,Comércio varejista de combustíveis (postos),0.6242626408678946,Alto,43,1,1,0.3333333333333333,P3: Laranja societário,0.8,2,0,0,16.0,0.20212765957446807
EMP_RJ_01494,Ativa,Extração de petróleo e gás natural,0.6225022111628589,Alto,44,1,1,0.5833333333333334,Outros,0.1,3,0,0,6.0,0.21731448763250882
EMP_RJ_01491,Ativa,Extração de petróleo e gás natural,0.6222606905555748,Alto,45,1,1,0.5833333333333334,Outros,0.1,3,0,0,6.0,0.21731448763250882
EMP_RJ_01492,Ativa,Extração de petróleo e gás natural,0.6222606905555748,Alto,45,1,1,0.5833333333333334,Outros,0.1,3,0,0,6.0,0.21731448763250882
EMP_RJ_01493,Ativa,Extração de petróleo e gás natural,0.6222606905555748,Alto,45,1,1,0.5833333333333334,Outros,0.1,3,0,0,6.0,0.21731448763250882
EMP_RJ_00563,Ativa,Extração de petróleo e gás natural,0.6155202012509388,Alto,48,1,1,0.3333333333333333,P5: Ativa suspeita,0.7,0,4,1,1.0,0.13333333333333333
EMP_RJ_00160,Inapta,Comércio varejista de combustíveis (postos),0.6132844368164392,Alto,49,0,1,0.8333333333333334,P4: Abandono fiscal,25.7,2,0,0,6.0,0.24528301886792453
EMP_RJ_01355,Inapta,Comércio atacadista de combustíveis,0.6131665860529798,Alto,50,1,1,0.5,Outros,2.9,1,0,0,1.0,0.2222222222222222
EMP_RJ_00452,Inapta,Comércio varejista de combustíveis (postos),0.6129711465725209,Alto,51,0,1,0.8333333333333334,P4: Abandono fiscal,17.9,2,0,0,6.0,0.20689655172413793
EMP_RJ_01397,Ativa,Comércio varejista de combustíveis (postos),0.6112684302505198,Alto,52,1,1,0.3333333333333333,P3: Laranja societário,1.8,3,0,0,22.0,0.21731448763250882
EMP_RJ_01373,Ativa,Comércio varejista de combustíveis (postos),0.6108248105876959,Alto,53,1,1,0.3333333333333333,P3: Laranja societário,2.5,3,0,0,22.0,0.30357142857142855
EMP_RJ_01387,Ativa,Comércio varejista de combustíveis (postos),0.6100752349938505,Alto,54,1,1,0.3333333333333333,P3: Laranja societário,2.3,3,0,0,22.0,0.30357142857142855
EMP_RJ_01388,Ativa,Comércio varejista de combustíveis (postos),0.6089485803539283,Alto,55,1,1,0.3333333333333333,P3: Laranja societário,2.3,2,0,0,16.0,0.21731448763250882
EMP_RJ_01314,Ativa,Comércio atacadista de combustíveis,0.6059808622882805,Alto,56,1,1,0.0,P1: Capital incompatível,1.7,3,1,0,1.0,0.2
EMP_RJ_01364,Ativa,Comércio varejista de combustíveis (postos),0.6053827775928977,Alto,57,1,1,0.3333333333333333,P3: Laranja societário,2.6,2,0,0,16.0,0.30357142857142855
EMP_RJ_01441,Ativa,Comércio varejista de combustíveis (postos),0.6047878974466303,Alto,58,1,1,0.3333333333333333,P3: Laranja societário,1.2,2,0,0,16.0,0.30357142857142855
EMP_RJ_00421,Ativa,Extração de petróleo e gás natural,0.6045561372878832,Alto,59,1,1,0.3333333333333333,P5: Ativa suspeita,1.8,0,5,1,1.0,0.21731448763250882
EMP_RJ_01401,Ativa,Comércio varejista de combustíveis (postos),0.6035229407464762,Alto,60,1,1,0.3333333333333333,P3: Laranja societário,1.7,2,0,0,16.0,0.30357142857142855
EMP_RJ_01054,Ativa,Extração de petróleo e gás natural,0.6030770496129545,Alto,61,1,1,0.3333333333333333,P5: Ativa suspeita,1.0,0,54,1,1.0,0.1724137931034483
EMP_RJ_01021,Inapta,Comércio varejista de combustíveis (postos),0.6023973567894374,Alto,62,0,1,0.75,Outros,7.1,3,0,0,4.0,0.35
EMP_RJ_01376,Ativa,Comércio varejista de combustíveis (postos),0.5996930645726115,Alto,63,1,1,0.3333333333333333,P3: Laranja societário,2.4,1,0,0,17.0,0.25
EMP_RJ_01478,Ativa,Comércio varejista de combustíveis (postos),0.5992128525607003,Alto,64,1,1,0.3333333333333333,Outros,0.3,5,0,0,3.0,0.3246753246753247
EMP_RJ_01475,Ativa,Comércio varejista de combustíveis (postos),0.5990673526505352,Alto,65,1,1,0.3333333333333333,Outros,0.4,3,0,0,4.0,0.07692307692307693
EMP_RJ_01438,Ativa,Comércio atacadista de combustíveis,0.5968377570330715,Alto,66,1,1,0.3333333333333333,P3: Laranja societário,1.3,1,0,0,17.0,0.20212765957446807
EMP_RJ_01109,Inapta,Comércio varejista de combustíveis (postos),0.5953608382011559,Alto,67,0,1,0.6666666666666666,P4: Abandono fiscal,57.3,1,1,0,1.0,0.21731448763250882
EMP_RJ_01348,Ativa,Comércio varejista de combustíveis (postos),0.5953488779721565,Alto,68,1,1,0.3333333333333333,P3: Laranja societário,3.1,3,0,0,22.0,0.5
EMP_RJ_01455,Ativa,Comércio varejista de combustíveis (postos),0.5945157774060706,Alto,69,1,1,0.16666666666666666,Outros,0.9,2,0,0,6.0,0.3246753246753247
EMP_RJ_01274,Ativa,Comércio varejista de combustíveis (postos),0.5944757831701438,Alto,70,1,1,0.3333333333333333,P3: Laranja societário,53.6,3,0,0,17.0,0.21731448763250882
EMP_RJ_01517,Inapta,Comércio atacadista de combustíveis,0.5930103054456182,Alto,71,1,1,0.5,P4: Abandono fiscal,31.9,1,0,0,1.0,1.0
EMP_RJ_01445,Ativa,Comércio varejista de combustíveis (postos),0.5925174352630409,Alto,72,1,1,0.3333333333333333,P3: Laranja societário,1.2,2,0,0,16.0,0.21731448763250882
EMP_RJ_00860,Ativa,Extração de petróleo e gás natural,0.5872367576745232,Alto,73,1,1,0.5,Outros,8.0,5,0,0,6.0,0.21731448763250882
EMP_RJ_00488,Ativa,Extração de petróleo e gás natural,0.5838578148858443,Alto,74,1,1,0.3333333333333333,P5: Ativa suspeita,1.5,0,9,1,1.0,0.1724137931034483
EMP_RJ_00982,Inapta,Comércio varejista de combustíveis (postos),0.5807662685049142,Alto,75,0,1,0.6666666666666666,P4: Abandono fiscal,16.8,2,1,0,1.0,0.45454545454545453
EMP_RJ_01056,Ativa,Comércio varejista de combustíveis (postos),0.5784123065983731,Alto,76,1,1,0.5,P3: Laranja societário,59.4,4,0,0,22.0,0.21731448763250882
